val_loss,auc,val_Accuracy,val_CohenKappa,val_F1,val_Recall,val_Precision,epoch,step
0.8054324388504028,0.32065728306770325,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,0,236
0.7806543111801147,0.32159626483917236,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,1,473
0.7340461015701294,0.3295774459838867,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,2,710
0.7305902242660522,0.33521127700805664,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,3,947
0.7532293200492859,0.3384976387023926,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,4,1184
0.8039668798446655,0.3319248855113983,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,5,1421
0.7940258979797363,0.34225350618362427,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,6,1658
0.7319861650466919,0.3539906144142151,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,7,1895
0.7845354676246643,0.34225350618362427,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,8,2132
0.7621641755104065,0.3680751323699951,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,9,2369
0.7789298295974731,0.3694835901260376,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,10,2606
0.7094850540161133,0.37276995182037354,0.3564356565475464,0.05198562145233154,0.31792208552360535,0.5422534942626953,0.6578947305679321,11,2843
0.7675592303276062,0.37276995182037354,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,12,3080
0.7284974455833435,0.38826292753219604,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,13,3317
0.774082601070404,0.3793427348136902,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,14,3554
0.7437990307807922,0.37230047583580017,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,15,3791
0.8111564517021179,0.37464791536331177,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,16,4028
0.7209387421607971,0.3887324035167694,0.31683167815208435,0.016927719116210938,0.25995540618896484,0.51408451795578,0.6515151262283325,17,4265
0.7382441759109497,0.3840375542640686,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,18,4502
0.7610505819320679,0.38591551780700684,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,19,4739
0.7031518816947937,0.41361501812934875,0.3762376308441162,0.03547072410583496,0.36018097400665283,0.527464747428894,0.5480295419692993,20,4976
0.7659323811531067,0.39812207221984863,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,21,5213
0.7439954280853271,0.40046948194503784,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,22,5450
0.6950098276138306,0.42441314458847046,0.4356435537338257,-0.16138792037963867,0.40187013149261475,0.40610331296920776,0.421197772026062,23,5687
0.6968486309051514,0.41596245765686035,0.42574256658554077,-0.11708617210388184,0.4089992046356201,0.42793428897857666,0.4395192861557007,24,5924
0.7531854510307312,0.4032863974571228,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,25,6161
0.7677876949310303,0.408450722694397,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,26,6398
0.7837459444999695,0.4154929518699646,0.2970297038555145,0.0,0.22900763154029846,0.5,0.14851485192775726,27,6635
0.697065532207489,0.4647887349128723,0.4455445408821106,0.027844607830047607,0.44505494832992554,0.5190140604972839,0.5180481672286987,28,6872
0.6695903539657593,0.5215962529182434,0.6831682920455933,-0.03856039047241211,0.4058823883533478,0.48591548204421997,0.3484848439693451,29,7109
